status,n,coef,se_hc3,p,ci_low,ci_high,ci_excludes_zero,full_r2,reduced_r2,delta_r2,full_aic,reduced_aic,delta_aic_full_minus_reduced,nested_f_p,focal_vif,mechanism_id,feature,feature_family,mechanism_type,moderator,controls_used,controls_omitted,bh_q,by_q,holm_p,primary_pass
FIT_OK,191,-0.05444877865523486,0.048726834937969976,0.26530018950150047,-0.1505980712655567,0.04170051395508697,False,0.4090860655751991,0.4066220704131991,0.002463995162000021,463.5523039347926,462.3470805761165,1.2052233586760508,0.3874508393898384,1.2031961518302992,low_tail_q25__c4_fraction,c4_fraction,c4_photosynthetic_pathway,low_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.5627372576281827,1.0,1.0,False
FIT_OK,191,-0.05444877865523486,0.048726834937969976,0.26530018950150047,-0.1505980712655567,0.04170051395508697,False,0.4090860655751991,0.4066220704131991,0.002463995162000021,463.5523039347926,462.3470805761165,1.2052233586760508,0.3874508393898384,1.2031961518302992,low_tail_q25__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,low_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.5627372576281827,1.0,1.0,False
FIT_OK,139,-0.07896216731607858,0.07965235958769261,0.3234070560527036,-0.23657981245338086,0.0786554778212237,False,0.3672998656597547,0.3624375001399045,0.004862365519850198,354.8364542512856,353.9005997124208,0.9358545388648167,0.32506481734319015,1.2823025833410464,interaction_with_mean_soil_moisture__c4_fraction,c4_fraction,c4_photosynthetic_pathway,interaction,mean_soil_moisture,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;lat;lon,baseline_soil_moisture:omitted_same_family_as_focal_or_moderator,0.6237137908386274,1.0,1.0,False
FIT_OK,139,-0.07896216731607833,0.07965235958769255,0.3234070560527047,-0.2365798124533805,0.07865547782122384,False,0.3672998656597547,0.3624375001399045,0.004862365519850198,354.8364542512856,353.9005997124208,0.9358545388648167,0.32506481734319015,1.2823025833410466,interaction_with_mean_soil_moisture__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,interaction,mean_soil_moisture,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;lat;lon,baseline_soil_moisture:omitted_same_family_as_focal_or_moderator,0.6237137908386274,1.0,1.0,False
FIT_OK,139,-0.13758569259951772,0.1559871469502749,0.3794257399117169,-0.4462561061472864,0.17108472094825097,False,0.36906963472190624,0.3624375001399045,0.006632134582001736,354.4471029962202,353.9005997124208,0.5465032837994386,0.25008989299728895,2.8542579427535335,interaction_with_mean_vpd__c4_fraction,c4_fraction,c4_photosynthetic_pathway,interaction,mean_vpd,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_soil_moisture;lat;lon,baseline_vpd:omitted_same_family_as_focal_or_moderator,0.6519152065706562,1.0,1.0,False
FIT_OK,139,-0.13758569259951742,0.15598714695027505,0.37942573991171846,-0.4462561061472864,0.17108472094825156,False,0.36906963472190624,0.3624375001399045,0.006632134582001736,354.4471029962202,353.9005997124208,0.5465032837994386,0.25008989299728895,2.8542579427535326,interaction_with_mean_vpd__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,interaction,mean_vpd,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_soil_moisture;lat;lon,baseline_vpd:omitted_same_family_as_focal_or_moderator,0.6519152065706562,1.0,1.0,False
FIT_OK,139,-0.09571666345994173,0.1103146558143708,0.3872118166752461,-0.31400945934944047,0.12257613242955698,False,0.3659802130881036,0.3624375001399044,0.0035427129481991892,355.12607119145173,353.9005997124208,1.2254714790309436,0.40114762502272144,2.586063222695132,interaction_with_mean_annual_temperature__c4_fraction,c4_fraction,c4_photosynthetic_pathway,interaction,mean_annual_temperature,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.6594091523178807,1.0,1.0,False
FIT_OK,139,-0.09571666345994159,0.11031465581437071,0.38721181667524646,-0.31400945934944013,0.12257613242955692,False,0.3659802130881036,0.3624375001399044,0.0035427129481991892,355.12607119145173,353.9005997124208,1.2254714790309436,0.40114762502272144,2.5860632226951306,interaction_with_mean_annual_temperature__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,interaction,mean_annual_temperature,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.6594091523178807,1.0,1.0,False
FIT_OK,191,-0.03654539316677774,0.04350348535743645,0.40199103030940747,-0.122387811385113,0.049297025051557516,False,0.4077315517643162,0.4066220704131991,0.0011094813511171031,463.989619862905,462.3470805761165,1.6425392867884625,0.5621823571940746,1.2037748632456309,low_tail_q10__c4_fraction,c4_fraction,c4_photosynthetic_pathway,low_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.6710722473522158,1.0,1.0,False
FIT_OK,191,-0.03654539316677774,0.04350348535743645,0.40199103030940747,-0.122387811385113,0.049297025051557516,False,0.4077315517643162,0.4066220704131991,0.0011094813511171031,463.989619862905,462.3470805761165,1.6425392867884625,0.5621823571940746,1.2037748632456309,low_tail_q10__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,low_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.6710722473522158,1.0,1.0,False
FIT_OK,191,-0.05708677420761237,0.09890146173967285,0.5645197807895832,-0.25224218695916595,0.13806863854394122,False,0.4083695094758347,0.4066220704131991,0.0017474390626356362,463.7837747004427,462.3470805761165,1.4366941243261522,0.46686260033368854,1.864957616613859,high_tail_q90__c4_fraction,c4_fraction,c4_photosynthetic_pathway,high_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8208476671198357,1.0,1.0,False
FIT_OK,191,-0.05708677420761237,0.09890146173967285,0.5645197807895832,-0.25224218695916595,0.13806863854394122,False,0.4083695094758347,0.4066220704131991,0.0017474390626356362,463.7837747004427,462.3470805761165,1.4366941243261522,0.46686260033368854,1.864957616613859,high_tail_q90__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,high_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8208476671198357,1.0,1.0,False
FIT_OK,139,0.06126763825163922,0.10733106723897429,0.5691245322236345,-0.1511211742813486,0.2736564507846271,False,0.36525727357477533,0.3624375001399045,0.0028197734348708314,355.28447530912,353.9005997124208,1.3838755966992267,0.4539691897946534,1.331214575792804,interaction_with_mean_annual_precipitation__c4_fraction,c4_fraction,c4_photosynthetic_pathway,interaction,mean_annual_precipitation,aridity;mean_annual_temperature;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,precipitation:omitted_same_family_as_focal_or_moderator,0.8210900345105088,1.0,1.0,False
FIT_OK,139,0.06126763825163883,0.10733106723897419,0.5691245322236366,-0.1511211742813488,0.27365645078462647,False,0.36525727357477544,0.3624375001399043,0.0028197734348711645,355.28447530912,353.9005997124208,1.3838755966992267,0.4539691897946288,1.3312145757928038,interaction_with_mean_annual_precipitation__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,interaction,mean_annual_precipitation,aridity;mean_annual_temperature;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,precipitation:omitted_same_family_as_focal_or_moderator,0.8210900345105088,1.0,1.0,False
FIT_OK,139,0.031710286613807544,0.06297530478827164,0.6154602740747844,-0.09290647670509056,0.15632704993270563,False,0.36320589903398914,0.3624375001399045,0.0007683988940846431,355.7329740114943,353.9005997124208,1.8323742990735354,0.6961077463218664,1.3086201514222313,interaction_with_aridity__c4_fraction,c4_fraction,c4_photosynthetic_pathway,interaction,aridity,mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,aridity:omitted_same_family_as_focal_or_moderator,0.8484485855335836,1.0,1.0,False
FIT_OK,139,0.03171028661380747,0.06297530478827186,0.6154602740747867,-0.09290647670509106,0.156327049932706,False,0.36320589903398914,0.3624375001399045,0.0007683988940846431,355.7329740114944,353.9005997124208,1.8323742990735923,0.6961077463218664,1.3086201514222313,interaction_with_aridity__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,interaction,aridity,mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,aridity:omitted_same_family_as_focal_or_moderator,0.8484485855335836,1.0,1.0,False
FIT_OK,139,0.06917689587398233,0.15637666287998783,0.6589713934497332,-0.24026429940458022,0.3786180911525449,False,0.3652385132015221,0.3624375001399045,0.0028010130616176188,355.28858351428426,353.9005997124208,1.38798380186347,0.45547802249682257,1.7084686209910556,hinge_high_q90__c4_fraction,c4_fraction,c4_photosynthetic_pathway,hinge_high,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8694272621371074,1.0,1.0,False
FIT_OK,139,0.06917689587398179,0.15637666287998772,0.6589713934497355,-0.24026429940458055,0.37861809115254413,False,0.3652385132015221,0.3624375001399045,0.0028010130616176188,355.28858351428426,353.9005997124208,1.38798380186347,0.45547802249682257,1.7084686209910556,hinge_high_q90__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,hinge_high,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8694272621371074,1.0,1.0,False
FIT_OK,139,0.05254835842511475,0.12035554821155951,0.6631360651837168,-0.18561355148579034,0.2907102683360198,False,0.36336151599607847,0.3624375001399045,0.0009240158561739653,355.69900164720366,353.9005997124208,1.7984019347828735,0.6684077578101368,2.9884010698776393,hinge_low_q25__c4_fraction,c4_fraction,c4_photosynthetic_pathway,hinge_low,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8704321876334978,1.0,1.0,False
FIT_OK,139,0.052548358425113906,0.12035554821155955,0.6631360651837219,-0.18561355148579126,0.2907102683360191,False,0.36336151599607835,0.3624375001399045,0.0009240158561738543,355.69900164720366,353.9005997124208,1.7984019347828735,0.6684077578101542,2.9884010698776415,hinge_low_q25__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,hinge_low,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8704321876334978,1.0,1.0,False
FIT_OK,191,-0.034788883144735154,0.08417009277624582,0.6798667573986843,-0.20087590459161503,0.1312981383021447,False,0.40727189678994724,0.4066220704131991,0.0006498263767481527,464.1377959979336,462.3470805761165,1.790715421817083,0.6574104480321802,1.86244577592345,high_tail_q75__c4_fraction,c4_fraction,c4_photosynthetic_pathway,high_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8714943775109327,1.0,1.0,False
FIT_OK,191,-0.034788883144735154,0.08417009277624582,0.6798667573986843,-0.20087590459161503,0.1312981383021447,False,0.40727189678994724,0.4066220704131991,0.0006498263767481527,464.1377959979336,462.3470805761165,1.790715421817083,0.6574104480321802,1.86244577592345,high_tail_q75__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,high_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8714943775109327,1.0,1.0,False
FIT_OK,139,0.02405576708515826,0.06071584519196903,0.6926205550937273,-0.0960899334467044,0.1442014676170209,False,0.36281983024277076,0.3624375001399045,0.00038233010286625735,355.817219925804,353.9005997124208,1.9166202133832257,0.782957274841033,1.5135609927573124,hinge_low_q10__c4_fraction,c4_fraction,c4_photosynthetic_pathway,hinge_low,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8714943775109327,1.0,1.0,False
FIT_OK,139,0.024055767085157696,0.060715845191969,0.692620555093734,-0.09608993344670491,0.1442014676170203,False,0.36281983024277076,0.3624375001399045,0.00038233010286625735,355.81721992580407,353.9005997124208,1.9166202133832826,0.782957274841033,1.5135609927573124,hinge_low_q10__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,hinge_low,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.8714943775109327,1.0,1.0,False
FIT_OK,139,0.04182131711652322,0.14945596939243372,0.7800680343986331,-0.25392507469517644,0.33756770892822285,False,0.3631266019418602,0.3624375001399045,0.0006891018019556938,355.7502819758235,353.9005997124208,1.8496822634027126,0.7114821204000435,2.5381192740998264,hinge_high_q75__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,hinge_high,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.9233428873369598,1.0,1.0,False
FIT_OK,139,0.04182131711652291,0.14945596939243364,0.7800680343986346,-0.25392507469517656,0.3375677089282224,False,0.3631266019418601,0.3624375001399045,0.0006891018019555828,355.7502819758235,353.9005997124208,1.8496822634027126,0.711482120400064,2.538119274099825,hinge_high_q75__c4_fraction,c4_fraction,c4_photosynthetic_pathway,hinge_high,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.9233428873369598,1.0,1.0,False
FIT_OK,139,0.025318475184610376,0.10169243225827651,0.8037853390824925,-0.17591249629951383,0.2265494466687346,False,0.3629044328880977,0.3624375001399045,0.00046693274819320507,355.79876274675325,353.9005997124208,1.8981630343324696,0.760797704531988,1.3728426377330851,quadratic__c4_fraction,c4_fraction,c4_photosynthetic_pathway,quadratic,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.9343436921820512,1.0,1.0,False
FIT_OK,139,0.025318475184610223,0.10169243225827644,0.8037853390824936,-0.17591249629951386,0.2265494466687343,False,0.3629044328880977,0.3624375001399045,0.00046693274819320507,355.79876274675325,353.9005997124208,1.8981630343324696,0.760797704531988,1.3728426377330851,quadratic__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,quadratic,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.9343436921820512,1.0,1.0,False
FIT_OK,139,0.011502591444026987,0.09955194938943714,0.9081953265955978,-0.18547794885738372,0.2084831317454377,False,0.3624375001399045,0.36237644628175425,6.105385815025066e-05,353.9005997124208,351.9139099054951,1.9866898069257104,0.9120170328969981,2.1670966248002523,linear__c4_fraction,c4_fraction,c4_photosynthetic_pathway,linear,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.9666726535051021,1.0,1.0,False
FIT_OK,139,0.011502591444026836,0.09955194938943711,0.908195326595599,-0.18547794885738383,0.20848313174543748,False,0.3624375001399045,0.36237644628175425,6.105385815025066e-05,353.9005997124208,351.9139099054951,1.9866898069257104,0.9120170328969981,2.167096624800251,linear__c4_fraction_raw,c4_fraction_raw,c4_photosynthetic_pathway,linear,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.9666726535051021,1.0,1.0,False
